exchange,cal_date,is_open
SSE,20190311,1
SSE,20190308,1
SSE,20190307,1
SSE,20190306,1
SSE,20190305,1
SSE,20190304,1
SSE,20190303,0
SSE,20190302,0
SSE,20190301,1
SSE,20190228,1
SSE,20190227,1
SSE,20190226,1
SSE,20190225,1
SSE,20190224,0
SSE,20190223,0
SSE,20190222,1
SSE,20190221,1
SSE,20190220,1
SSE,20190219,1
SSE,20190218,1
SSE,20190217,0
SSE,20190216,0
SSE,20190215,1
SSE,20190214,1
SSE,20190213,1
SSE,20190212,1
SSE,20190211,1
SSE,20190210,0
SSE,20190209,0
SSE,20190208,0
SSE,20190207,0
SSE,20190206,0
SSE,20190205,0
SSE,20190204,0
SSE,20190203,0
SSE,20190202,0
SSE,20190201,1
SSE,20190131,1
SSE,20190130,1
SSE,20190129,1
SSE,20190128,1
SSE,20190127,0
SSE,20190126,0
SSE,20190125,1
SSE,20190124,1
SSE,20190123,1
SSE,20190122,1
SSE,20190121,1
SSE,20190120,0
SSE,20190119,0
SSE,20190118,1
SSE,20190117,1
SSE,20190116,1
SSE,20190115,1
SSE,20190114,1
SSE,20190113,0
SSE,20190112,0
SSE,20190111,1
SSE,20190110,1
SSE,20190109,1
SSE,20190108,1
SSE,20190107,1
SSE,20190106,0
SSE,20190105,0
SSE,20190104,1
SSE,20190103,1
SSE,20190102,1
SSE,20190101,0
SSE,20181231,0
SSE,20181230,0
SSE,20181229,0
SSE,20181228,1
SSE,20181227,1
SSE,20181226,1
SSE,20181225,1
SSE,20181224,1
SSE,20181223,0
SSE,20181222,0
SSE,20181221,1
SSE,20181220,1
SSE,20181219,1
SSE,20181218,1
SSE,20181217,1
SSE,20181216,0
SSE,20181215,0
SSE,20181214,1
SSE,20181213,1
SSE,20181212,1
SSE,20181211,1
SSE,20181210,1
SSE,20181209,0
SSE,20181208,0
SSE,20181207,1
SSE,20181206,1
SSE,20181205,1
SSE,20181204,1
SSE,20181203,1
SSE,20181202,0
SSE,20181201,0
SSE,20181130,1
SSE,20181129,1
SSE,20181128,1
SSE,20181127,1
SSE,20181126,1
SSE,20181125,0
SSE,20181124,0
SSE,20181123,1
SSE,20181122,1
SSE,20181121,1
SSE,20181120,1
SSE,20181119,1
SSE,20181118,0
SSE,20181117,0
SSE,20181116,1
SSE,20181115,1
SSE,20181114,1
SSE,20181113,1
SSE,20181112,1
SSE,20181111,0
SSE,20181110,0
SSE,20181109,1
SSE,20181108,1
SSE,20181107,1
SSE,20181106,1
SSE,20181105,1
SSE,20181104,0
SSE,20181103,0
SSE,20181102,1
SSE,20181101,1
SSE,20181031,1
SSE,20181030,1
SSE,20181029,1
SSE,20181028,0
SSE,20181027,0
SSE,20181026,1
SSE,20181025,1
SSE,20181024,1
SSE,20181023,1
SSE,20181022,1
SSE,20181021,0
SSE,20181020,0
SSE,20181019,1
SSE,20181018,1
SSE,20181017,1
SSE,20181016,1
SSE,20181015,1
SSE,20181014,0
SSE,20181013,0
SSE,20181012,1
SSE,20181011,1
SSE,20181010,1
SSE,20181009,1
SSE,20181008,1
