trade_date,close,pct_chg,vol,ema24,ma120,ma250,rise,fall,rise_limit,fall_limit,rise_limit_count,ema24_up,ma120_up,north_money,pct_chg_v,vol_5,vol_v,ema24_on_v,ma120_on_v,ma250_on_v,rise_fall_v,rise_limit_fall_limit_v,rise_limit_count_5,rise_limit_count_v,ema24_up_5,ema24_up_v,ma120_up_5,ma120_up_v,north_money_5,north_money_v1,north_money_v,v,v_5
20190815,2815.8,0.24,152772152.0,2860.82,2983.23,2805.85,1649,1684,30,3,5,758,528,601.0,0.8,141501404.8,3.24,-5,-4,3,-0.03,2.46,3.6,4.17,611.8,4.96,488.0,3.24,940.6,0.64,1.92,1.3,0.9
20190814,2808.91,0.42,144014641.0,2864.73,2982.69,2805.41,2328,988,38,3,2,692,506,1536.0,1.4000000000000001,140854887.2,3.06,-5,-4,3,1.2000000000000002,2.55,3.8,1.59,558.8,4.96,476.0,3.18,1414.2,1.09,3.2700000000000005,1.4,0.8
20190813,2797.26,-0.63,130916505.0,2869.59,2982.3,2805.13,911,2556,20,2,4,584,477,-2095.0,-2.1,143595309.4,2.73,-5,-4,-3,-1.41,2.46,4.2,2.8499999999999996,500.4,4.68,464.2,3.09,561.2,3.73,-4.0,-0.3,0.5
20190812,2814.99,1.45,131563433.0,2875.88,2981.95,2805.02,3141,359,39,1,4,602,496,2827.0,4.85,163636753.8,2.4000000000000004,-5,-4,3,2.37,2.8499999999999996,4.4,2.73,464.4,5.2,461.8,3.21,477.8,5.92,4.0,2.0,0.3
20190809,2774.75,-0.71,148240293.0,2881.17,2981.44,2805.05,610,2848,18,2,3,423,433,1834.0,-2.3499999999999996,170807951.8,2.61,-5,-4,-3,-1.9500000000000002,2.4000000000000004,4.4,2.04,461.8,3.68,479.4,2.7,-700.6,2.62,4.0,0.1,-0.1
20190808,2794.55,0.93,149539564.0,2890.43,2980.67,2805.46,2344,996,28,9,6,493,468,2969.0,3.1,178137581.8,2.52,-5,-4,-3,1.2000000000000002,1.53,4.6,3.9000000000000004,519.6,3.8,524.4,2.67,-2355.6,1.26,3.7800000000000002,1.0,-0.2
20190807,2768.68,-0.32,157716752.0,2898.76,2980.05,2805.76,1251,2121,29,12,4,400,447,-2729.0,-1.05,176707631.6,2.67,-5,-4,-3,-0.78,1.23,4.6,2.61,627.4,2.56,584.8,2.2800000000000002,-3096.2,0.88,-2.64,-0.5,-0.4
20190806,2777.56,-1.56,231123727.0,2910.07,2979.65,2806.18,395,3163,15,9,5,404,465,-2512.0,-5.2,173374750.8,3.99,-5,-4,-3,-2.34,0.75,4.6,3.2700000000000005,776.4,2.08,657.4,2.13,-2638.8,0.95,-2.8499999999999996,-0.9,-0.2
20190805,2821.5,-1.62,167419423.0,2921.6,2978.77,2806.6,618,2869,29,5,4,589,584,-3065.0,-5.4,156813297.8,3.21,-5,-4,3,-1.9500000000000002,2.13,4.2,2.8499999999999996,962.2,2.44,741.8,2.37,-1571.4,1.95,-4.0,-0.4,0.4
20190802,2867.84,-1.41,184888443.0,2930.3,2977.38,2806.93,490,3030,15,3,4,712,658,-6441.0,-4.699999999999999,148927782.4,3.7199999999999998,-5,-4,3,-2.16,2.0100000000000002,3.8,3.1500000000000004,1072.6,2.64,798.2,2.46,-882.0,7.3,-4.0,-0.3,0.8
20190801,2908.77,-0.81,142389813.0,2935.73,2975.3,2807.08,1074,2320,19,2,6,1032,770,-734.0,-2.7,139818771.4,3.06,-5,-4,3,-1.1099999999999999,2.43,3.8,4.74,1159.4,3.56,842.8,2.73,212.4,3.46,-4.0,0.2,1.2
20190731,2932.51,-0.67,141052348.0,2938.08,2972.59,2806.88,885,2565,19,4,4,1145,810,-442.0,-2.25,140477685.8,3.0,-5,-4,3,-1.47,1.9500000000000002,3.8,3.1500000000000004,1169.4,3.92,868.4,2.79,832.6,0.53,-1.59,0.3,1.6
